trade_date,commid,open_price,high_price,low_price,close_price,clear_price,vol,hold
2015-1-15,CF1511,13560,13605,13555,13605,13585,12,650
2015-1-16,CF1501,13000,13005,12900,12900,12915,10520,0
2015-1-16,CF1503,13070,13070,12930,13005,13005,118,856
2015-1-16,CF1505,12970,13245,12970,13125,13135,274904,407034
2015-1-16,CF1507,13235,13235,13195,13200,13215,74,1236
2015-1-16,CF1509,13350,13625,13350,13490,13500,24640,77174
2015-1-16,CF1511,13770,13770,13720,13745,13740,52,654
2015-1-19,CF1503,12995,12995,12905,12905,12970,622,776
2015-1-19,CF1505,13105,13165,13060,13140,13115,162822,402958
2015-1-19,CF1507,13225,13235,13190,13205,13215,42,1256
2015-1-19,CF1509,13490,13545,13440,13505,13495,16800,76032
2015-1-19,CF1511,13745,13790,13710,13750,13755,70,654
2015-1-19,CF1601,13660,13980,13660,13810,13835,602,358
2015-1-20,CF1503,12955,12960,12940,12940,12960,92,774
2015-1-20,CF1505,13125,13190,13075,13105,13120,130830,394596
2015-1-20,CF1507,13245,13245,13200,13215,13220,90,1310
2015-1-20,CF1509,13495,13555,13455,13480,13490,10348,77092
2015-1-20,CF1511,13750,13780,13665,13725,13730,146,658
2015-1-20,CF1601,13840,13840,13700,13740,13750,1780,1970
2015-1-21,CF1503,12900,12930,12860,12865,12885,30,776
2015-1-21,CF1505,13110,13130,12950,13005,13015,269822,388818
2015-1-21,CF1507,13165,13165,13090,13145,13140,30,1324
2015-1-21,CF1509,13470,13500,13320,13405,13400,25412,77792
2015-1-21,CF1511,13700,13725,13600,13635,13645,74,650
2015-1-21,CF1601,13745,13750,13625,13670,13690,232,2066
2015-1-22,CF1503,12970,12970,12960,12960,12960,30,782
2015-1-22,CF1505,13025,13095,12990,13025,13045,151908,378632
2015-1-22,CF1507,13175,13200,13130,13135,13170,26,1316
2015-1-22,CF1509,13420,13480,13380,13390,13425,16300,75756
2015-1-22,CF1511,13585,13640,13555,13565,13595,110,686
2015-1-22,CF1601,13625,13695,13585,13595,13625,670,2632
2015-1-23,CF1503,12870,12900,12870,12900,12890,70,776
2015-1-23,CF1505,13030,13070,12910,13025,12975,257488,370792
2015-1-23,CF1507,13110,13155,13055,13100,13100,40,1326
2015-1-23,CF1509,13395,13445,13300,13410,13360,18122,77738
2015-1-23,CF1511,13540,13570,13490,13570,13525,92,692
2015-1-23,CF1601,13595,13620,13470,13595,13565,2892,5020
2015-1-26,CF1503,12875,12875,12815,12860,12840,236,772
2015-1-26,CF1505,13005,13075,12910,12920,12990,207560,359210
2015-1-26,CF1507,13195,13205,13055,13075,13090,70,1306
2015-1-26,CF1509,13400,13505,13330,13340,13430,36946,86372
2015-1-26,CF1511,13505,13645,13505,13560,13600,138,620
2015-1-26,CF1601,13615,13685,13610,13630,13655,2324,6902
2015-1-27,CF1503,12920,12925,12840,12840,12895,176,788
2015-1-27,CF1505,12930,13135,12870,13000,13020,262644,355832
2015-1-27,CF1507,13200,13240,13125,13125,13180,36,1314
2015-1-27,CF1509,13355,13550,13285,13415,13440,23226,87120
2015-1-27,CF1511,13555,13720,13555,13635,13650,144,652
2015-1-27,CF1601,13655,13720,13640,13660,13680,2078,6752
2015-1-28,CF1503,12920,12925,12860,12925,12890,40,772
2015-1-28,CF1505,13015,13140,12995,13135,13065,183894,383908
2015-1-28,CF1507,13170,13230,13170,13230,13190,40,1316
2015-1-28,CF1509,13440,13570,13410,13570,13485,22140,93396
2015-1-28,CF1511,13675,13725,13655,13725,13695,102,578
2015-1-28,CF1601,13685,13795,13670,13795,13730,1006,7516
2015-1-29,CF1503,12880,13035,12880,13010,12985,334,942
2015-1-29,CF1505,13120,13275,13085,13220,13190,375236,418382
2015-1-29,CF1507,13275,13365,13275,13345,13315,30,1312
2015-1-29,CF1509,13565,13670,13525,13610,13595,40398,95606
2015-1-29,CF1511,13725,13825,13725,13810,13775,58,588
2015-1-29,CF1601,13800,13905,13760,13885,13845,1334,8442
2015-1-30,CF1503,12945,12990,12945,12950,12955,32,946
2015-1-30,CF1505,13200,13225,13085,13090,13150,204904,386786
2015-1-30,CF1507,13330,13330,13215,13215,13275,78,1298
2015-1-30,CF1509,13580,13620,13475,13485,13540,18024,93288
2015-1-30,CF1511,13785,13785,13695,13695,13735,36,588
2015-1-30,CF1601,13850,13860,13790,13790,13825,388,8402
2015-2-2,CF1503,12980,12980,12875,12885,12905,48,926
2015-2-2,CF1505,13075,13120,13040,13085,13080,140726,373942
2015-2-2,CF1507,13185,13225,13185,13220,13205,26,1296
2015-2-2,CF1509,13485,13520,13435,13490,13480,11384,93538
2015-2-2,CF1511,13685,13775,13670,13760,13735,136,616
2015-2-2,CF1601,13780,13955,13750,13910,13865,2336,10290
2015-2-3,CF1503,12970,13000,12940,12955,12975,82,934
2015-2-3,CF1505,13105,13215,13090,13160,13155,177896,390372
2015-2-3,CF1507,13170,13330,13170,13300,13260,28,1288
2015-2-3,CF1509,13530,13635,13500,13585,13575,18768,96116
2015-2-3,CF1511,13765,13840,13750,13795,13810,90,606
2015-2-3,CF1601,13895,14000,13880,13970,13950,970,11052
2015-2-4,CF1503,13000,13150,13000,13130,13110,340,1106
2015-2-4,CF1505,13200,13365,13155,13325,13285,404418,434740
2015-2-4,CF1507,13315,13510,13300,13440,13440,44,1298
2015-2-4,CF1509,13620,13810,13575,13735,13730,69548,103866
2015-2-4,CF1511,13865,13980,13795,13925,13895,98,554
2015-2-4,CF1601,14025,14030,13915,13980,13975,4160,14410
2015-2-5,CF1503,13040,13050,13035,13035,13040,128,1094
2015-2-5,CF1505,13320,13320,13125,13135,13215,271384,399990
2015-2-5,CF1507,13380,13395,13295,13295,13360,46,1316
2015-2-5,CF1509,13735,13735,13545,13550,13625,39484,101920
2015-2-5,CF1511,13910,13910,13765,13795,13815,54,570
2015-2-5,CF1601,13995,13995,13890,13925,13940,1056,14596
2015-2-6,CF1503,13140,13210,13015,13030,13145,132,1172
2015-2-6,CF1505,13140,13260,13140,13210,13210,153080,399654
2015-2-6,CF1507,13310,13375,13280,13375,13310,108,1366
2015-2-6,CF1509,13550,13690,13550,13650,13645,26792,108598
2015-2-6,CF1511,13695,13915,13640,13885,13775,34,570
2015-2-6,CF1601,13935,14055,13720,14035,14000,980,15226
2015-2-9,CF1503,12960,13070,12960,13070,13055,154,1074
2015-2-9,CF1505,13200,13250,13150,13235,13200,147530,406630
2015-2-9,CF1507,13335,13370,13300,13370,13325,34,1362
2015-2-9,CF1509,13630,13690,13575,13675,13640,32866,116904
2015-2-9,CF1511,13845,13915,13815,13915,13870,50,580
2015-2-9,CF1601,14005,14100,13960,14090,14055,1074,15996
2015-2-10,CF1503,13110,13125,13075,13110,13115,136,1044
2015-2-10,CF1505,13205,13330,13205,13260,13280,185404,405198
2015-2-10,CF1507,13420,13430,13410,13430,13425,22,1368
2015-2-10,CF1509,13655,13770,13645,13715,13720,32556,120204
2015-2-10,CF1511,13895,13955,13885,13905,13910,142,656
2015-2-10,CF1601,14080,14130,14020,14100,14105,1394,16962
2015-2-11,CF1503,13050,13210,13050,13055,13075,142,970
2015-2-11,CF1505,13270,13310,13180,13230,13240,158004,384810
2015-2-11,CF1507,13415,13425,13355,13365,13390,12,1366
2015-2-11,CF1509,13690,13750,13625,13670,13680,24448,119586
2015-2-11,CF1511,13915,13915,13845,13905,13895,54,666
2015-2-11,CF1601,14100,14120,14030,14100,14090,938,17578
2015-2-12,CF1503,12975,13000,12970,12985,12980,274,946
2015-2-12,CF1505,13190,13230,13150,13185,13190,106242,368278
2015-2-12,CF1507,13360,13365,13310,13335,13335,26,1348
2015-2-12,CF1509,13620,13665,13595,13630,13630,22244,117994
2015-2-12,CF1511,13875,13890,13815,13885,13865,64,676
2015-2-12,CF1601,14080,14100,14005,14080,14060,1384,18280
2015-2-13,CF1503,13025,13100,13015,13070,13025,242,938
2015-2-13,CF1505,13185,13325,13185,13275,13270,160548,345076
2015-2-13,CF1507,0,0,0,0,13380,0,1348
2015-2-13,CF1509,13640,13745,13625,13710,13700,32120,111034
2015-2-13,CF1511,13895,13940,13895,13940,13925,32,674
2015-2-13,CF1601,14095,14160,14060,14135,14125,1034,18874
2015-2-16,CF1503,13055,13080,13055,13080,13060,22,936
2015-2-16,CF1505,13280,13350,13255,13300,13295,98728,326702
2015-2-16,CF1507,13395,13425,13390,13425,13410,78,1286
2015-2-16,CF1509,13695,13750,13665,13695,13695,27434,103876
2015-2-16,CF1511,13910,13945,13895,13925,13920,48,660
2015-2-16,CF1601,14130,14135,14075,14100,14110,1564,18930
2015-2-17,CF1503,13135,13140,13085,13090,13110,50,918
2015-2-17,CF1505,13300,13380,13290,13310,13325,75946,314714
2015-2-17,CF1507,13400,13445,13395,13445,13405,10,1294
2015-2-17,CF1509,13690,13770,13690,13720,13735,19322,105420
2015-2-17,CF1511,13945,13980,13945,13970,13965,48,644
2015-2-17,CF1601,14100,14165,14100,14150,14145,2068,19356
2015-2-25,CF1503,13155,13170,13125,13145,13155,10,908
2015-2-25,CF1505,13375,13400,13270,13330,13350,83962,314554
2015-2-25,CF1507,0,0,0,0,13405,0,1294
2015-2-25,CF1509,13795,13835,13690,13735,13765,22980,105340
2015-2-25,CF1511,13955,13980,13950,13975,13965,8,648
2015-2-25,CF1601,14205,14240,14120,14145,14185,1430,20164
2015-2-26,CF1503,13195,13250,13140,13180,13195,168,990
2015-2-26,CF1505,13315,13480,13310,13445,13415,243882,344340
2015-2-26,CF1507,13465,13575,13465,13525,13540,84,1276
2015-2-26,CF1509,13725,13870,13710,13840,13815,54762,118770
2015-2-26,CF1511,13980,14085,13970,14050,14025,100,672
2015-2-26,CF1601,14145,14240,14145,14215,14205,4306,23018
2015-2-27,CF1503,13250,13250,13175,13185,13200,136,1046
2015-2-27,CF1505,13430,13470,13375,13405,13430,164392,343756
2015-2-27,CF1507,13545,13550,13520,13520,13535,16,1276
2015-2-27,CF1509,13830,13850,13770,13785,13810,34614,124682
2015-2-27,CF1511,14035,14055,14000,14020,14030,30,666
2015-2-27,CF1601,14205,14220,14150,14165,14185,2214,24420
2015-3-2,CF1503,13190,13190,13190,13190,13190,4,1046
2015-3-2,CF1505,13400,13445,13330,13370,13385,144482,322120
2015-3-2,CF1507,13535,13535,13425,13475,13475,74,1272
2015-3-2,CF1509,13790,13830,13705,13770,13755,54400,126470
2015-3-2,CF1511,14000,14020,13950,13980,13970,52,676
2015-3-2,CF1601,14175,14195,14090,14150,14110,10052,25386
2015-3-3,CF1503,13195,13195,13010,13010,13110,104,1018
2015-3-3,CF1505,13370,13400,13100,13225,13245,299020,280260
2015-3-3,CF1507,13360,13360,13250,13260,13260,120,1256
2015-3-3,CF1509,13750,13810,13485,13615,13640,94294,122728
2015-3-3,CF1511,13965,14020,13765,13880,13880,140,676
2015-3-3,CF1601,14150,14180,13895,14055,14060,7384,25734
2015-3-4,CF1503,13030,13035,12970,12970,13020,104,930
2015-3-4,CF1505,13175,13230,13160,13180,13190,74804,268122
2015-3-4,CF1507,13325,13325,13325,13325,13325,2,1254
2015-3-4,CF1509,13580,13625,13550,13580,13585,26980,120500
2015-3-4,CF1511,13835,13885,13835,13855,13845,34,674
2015-3-4,CF1601,14020,14050,13990,14015,14015,2774,26404
2015-3-5,CF1503,12915,12915,12915,12915,12915,16,930
2015-3-5,CF1505,13180,13205,13145,13160,13165,80892,254446
2015-3-5,CF1507,13270,13295,13270,13270,13275,38,1228
2015-3-5,CF1509,13565,13585,13535,13550,13550,33834,121124
2015-3-5,CF1511,13850,13850,13800,13830,13825,26,670
2015-3-5,CF1601,13995,14035,13980,13995,13995,2332,26498
2015-3-6,CF1503,13000,13015,13000,13015,13005,64,946
2015-3-6,CF1505,13120,13220,13120,13160,13180,70578,242088
2015-3-6,CF1507,13275,13315,13270,13315,13280,10,1220
2015-3-6,CF1509,13550,13610,13530,13555,13570,22524,121816
2015-3-6,CF1511,13840,13865,13810,13810,13825,22,654
2015-3-6,CF1601,14010,14045,13960,13975,14005,3758,27268
2015-3-9,CF1503,12950,12950,12920,12930,12935,208,1026
2015-3-9,CF1505,13135,13160,13060,13110,13120,134626,222724
2015-3-9,CF1507,13255,13265,13155,13170,13215,100,1240
2015-3-9,CF1509,13500,13540,13370,13395,13445,84696,120416
2015-3-9,CF1511,13780,13780,13640,13675,13705,80,642
2015-3-9,CF1601,13950,13955,13795,13820,13870,6034,28032
2015-3-10,CF1503,12925,12925,12870,12895,12915,164,992
2015-3-10,CF1505,13110,13120,13065,13075,13090,51594,213388
2015-3-10,CF1507,13180,13210,13180,13195,13195,8,1234
2015-3-10,CF1509,13395,13425,13350,13350,13380,34372,120204
2015-3-10,CF1511,13545,13685,13545,13615,13635,110,650
2015-3-10,CF1601,13810,13810,13710,13710,13760,4382,26256
2015-3-11,CF1503,12920,12920,12920,12920,12920,16,1008
2015-3-11,CF1505,13085,13085,13020,13065,13055,50992,202760
2015-3-11,CF1507,13120,13120,13120,13120,13120,2,1232
2015-3-11,CF1509,13340,13420,13300,13405,13350,42400,120382
2015-3-11,CF1511,13550,13675,13545,13655,13620,120,696
2015-3-11,CF1601,13700,13775,13610,13740,13685,3806,27004
2015-3-12,CF1503,12950,12965,12915,12920,12930,50,1056
2015-3-12,CF1505,13055,13285,13055,13145,13155,93044,197024
2015-3-12,CF1507,13230,13230,13230,13230,13230,2,1230
2015-3-12,CF1509,13395,13625,13395,13520,13490,62874,126602
2015-3-12,CF1511,13770,13840,13690,13750,13720,126,624
2015-3-12,CF1601,13710,13900,13710,13875,13825,6004,28752
2015-3-13,CF1503,0,0,0,0,12930,0,0
2015-3-13,CF1505,13150,13170,13120,13140,13145,29896,189880
